,threshold,precision,recall,f1-score,f0.5-score,w-precision,w-recall,w-f1-score,w-f0.5-score
14,0.14,0.8472222222222222,0.0729665071770335,0.13436123348017623,0.27135231316725983,0.7162181095505374,0.25285171102661597,0.17716046951701733,0.26652140158314586
15,0.15,0.8472222222222222,0.0729665071770335,0.13436123348017623,0.27135231316725983,0.7162181095505374,0.25285171102661597,0.17716046951701733,0.26652140158314586
16,0.16,0.8472222222222222,0.0729665071770335,0.13436123348017623,0.27135231316725983,0.7162181095505374,0.25285171102661597,0.17716046951701733,0.26652140158314586
17,0.17,0.8513513513513513,0.07535885167464115,0.13846153846153847,0.2782685512367491,0.7195872655412182,0.25475285171102663,0.18053678747642868,0.27211618798874027
18,0.18,0.8533333333333334,0.07655502392344497,0.14050493962678376,0.28169014084507044,0.7212063519244266,0.25570342205323193,0.18221972957500307,0.27488469557465683
19,0.19,0.8533333333333334,0.07655502392344497,0.14050493962678376,0.28169014084507044,0.7212063519244266,0.25570342205323193,0.18221972957500307,0.27488469557465683
20,0.2,0.8533333333333334,0.07655502392344497,0.14050493962678376,0.28169014084507044,0.7212063519244266,0.25570342205323193,0.18221972957500307,0.27488469557465683
21,0.21,0.8607594936708861,0.08133971291866028,0.14863387978142076,0.29513888888888884,0.7272848598643621,0.25950570342205326,0.18891699821098615,0.28577086544580643
22,0.22,0.8641975308641975,0.08373205741626795,0.15267175572519084,0.3017241379310345,0.7301060907615502,0.26140684410646386,0.19224509875864487,0.29110397272846467
23,0.23,0.8705882352941177,0.08851674641148326,0.16069489685124866,0.31462585034013607,0.7353639460274498,0.2652091254752852,0.19886070138682244,0.30155776443072396
24,0.24,0.872093023255814,0.08971291866028708,0.16268980477223427,0.3177966101694915,0.7366048258161888,0.2661596958174905,0.20050621165171875,0.3041280151939618
25,0.25,0.875,0.09210526315789473,0.16666666666666669,0.324074074074074,0.739005332660177,0.26806083650190116,0.20378724409787113,0.3092179108673091
26,0.26,0.8777777777777778,0.09449760765550239,0.17062634989200862,0.3302675585284281,0.741303543965141,0.26996197718631176,0.20705503494390928,0.31424146899853495
27,0.27,0.8804347826086957,0.09688995215311005,0.1745689655172414,0.33637873754152825,0.7435061580426517,0.2718631178707224,0.21030967454505078,0.3192000222445681
28,0.28,0.8817204301075269,0.09808612440191387,0.17653390742734124,0.3394039735099338,0.7445735518497236,0.27281368821292773,0.2119320906608505,0.3216553288601889
29,0.29,0.8829787234042553,0.09928229665071771,0.17849462365591398,0.3424092409240924,0.7456193033547663,0.2737642585551331,0.21355125251150398,0.32409486815767047
